,0,1,2,3,granger_scores
3722,Klf4,Thbd,Activation,19661484,25.19291
3841,Lmo4,Mta1,Unknown,16288053,73.24271
3864,Mafb,Ccnd2,Unknown,15755896,-42.449707
3871,Maml1,Egr1,Activation,23029358,-73.652145
3873,Maml1,Tnfrsf12a,Repression,18503747,-44.32172
3886,Maz,Tsg101,Activation,21556761,-96.735725
3928,Med23,Txnip,Unknown,12543799,-47.433914
4059,Mta1,Mnat1,Unknown,12527756,91.986145
4065,Mta1,Smad7,Repression,22841502,79.248795
4067,Mta1,Snai2,Activation,18719363,-254.38632
4068,Mta1,Sumo2,Activation,21965678,91.02121
4081,Mxd1,Odc1,Unknown,19789310,18.400507
4372,Ncor1,Snai2,Repression,18588516,-181.6007
4452,Nfia,Cdkn1a,Repression,17130157,-98.26896
4495,Nfix,Cdkn1a,Repression,17130157,-60.92633
4503,Nfkb1,Adora1,Activation,9547356,85.5541
4509,Nfkb1,Akt2,Repression,20514445,29.577291
4511,Nfkb1,Alox5ap,Unknown,20194722,149.73878
4515,Nfkb1,Atf3,Unknown,24100018,-72.65418
4516,Nfkb1,B2m,Activation,12480693,45.5907
4517,Nfkb1,Bace1,Repression,17385716,87.41505
4529,Nfkb1,Bcl3,Activation,11387332,39.620182
4531,Nfkb1,Bgn,Activation,15536164,73.949295
4536,Nfkb1,Birc3,Activation,10733571;11297551;11880364;12010810;19343319,51.793774
4537,Nfkb1,Birc3,Repression,15231833;15723831;18566231,51.793774
4538,Nfkb1,Birc3,Unknown,10823821;15050749;17000776;17673602,51.793774
4544,Nfkb1,Btg2,Unknown,17363596,-68.306435
4549,Nfkb1,Cck,Unknown,11022044,35.670998
4555,Nfkb1,Ccl2,Activation,10530453;11512674;12488502;12647268;16206198;16764699;20200316;9388261,78.205414
4556,Nfkb1,Ccl2,Unknown,10744656;11006087;11949945;12218154;14631383;15950427;16040075;16818736;8617886,78.205414
4559,Nfkb1,Ccl3,Activation,16982926,46.763725
4560,Nfkb1,Ccl3,Unknown,11342414;17707233,46.763725
4561,Nfkb1,Ccl4,Unknown,11342414,56.554813
4562,Nfkb1,Ccl5,Activation,11478739;9120310,37.520695
4563,Nfkb1,Ccl5,Unknown,11259372;11389171;11413310;12122011;19786024,37.520695
4566,Nfkb1,Ccnd1,Activation,10464245;11861406;15756023;15856023;17407600;18341653;19263436;22306268,116.86274
4567,Nfkb1,Ccnd1,Repression,18566231,116.86274
4568,Nfkb1,Ccnd1,Unknown,10409765;12894581;16453001;17673602;17944672;18184402;19766095;20103608;20538607,116.86274
4569,Nfkb1,Ccnd2,Activation,21790895,113.211334
4584,Nfkb1,Cd74,Unknown,8164652,-51.163074
4592,Nfkb1,Cdkn1a,Repression,18954936,80.70601
4595,Nfkb1,Cflar,Activation,15750764;15986355;19343319,30.00525
4596,Nfkb1,Cflar,Repression,15723831,30.00525
4597,Nfkb1,Cflar,Unknown,18222423,30.00525
4599,Nfkb1,Col1a1,Unknown,11277268,39.778454
4600,Nfkb1,Col1a2,Repression,10201951,93.05049
4607,Nfkb1,Crmp1,Unknown,18782567,-111.977455
4610,Nfkb1,Csf1,Activation,18566389,70.74304
4611,Nfkb1,Csf1,Unknown,11949945,70.74304
4618,Nfkb1,Cxcl10,Activation,16982926;20164184;24701034,104.57266
4619,Nfkb1,Cxcl10,Unknown,16818736;19479051;24257594,104.57266
4621,Nfkb1,Cxcl2,Unknown,17363596,130.4922
4642,Nfkb1,Egr1,Repression,21983014,-117.01657
4643,Nfkb1,Elf3,Unknown,12746898,32.415527
4664,Nfkb1,Gadd45g,Unknown,23681230,62.592724
4666,Nfkb1,Gclc,Unknown,11233143,39.81352
4673,Nfkb1,Gsk3b,Unknown,11579131,33.873405
4676,Nfkb1,Hbegf,Activation,22641673,-63.09707
