,0,1,granger_scores,activation,both_increasing
7833,Stat1,Cxcl10,76.10136,True,False
7844,Stat1,Gast,-46.24669,False,False
7849,Stat1,Hsp90aa1,46.554417,True,False
7850,Stat1,Icam1,60.860268,True,False
7851,Stat1,Ifit3,89.96586,True,False
7860,Stat1,Il1b,117.933105,True,False
7861,Stat1,Il1r1,173.0513,True,False
7872,Stat1,Krt17,149.77776,True,False
7878,Stat1,Muc4,-54.285324,False,False
7887,Stat1,Pim1,48.03252,True,False
7896,Stat1,S100a10,65.856445,True,False
7897,Stat1,Scarb1,-79.358444,False,False
7900,Stat1,Stat2,144.6246,True,False
7901,Stat1,Stat3,99.89407,True,False
7912,Stat2,Ccl2,83.53093,True,False
7913,Stat2,Ifit3,81.995415,True,False
7920,Stat2,Scarb1,-83.44705,False,False
7922,Stat2,Stat1,108.97975,True,False
7939,Stat3,Ccl2,237.62389,True,False
7940,Stat3,Ccnd1,51.828644,True,False
7943,Stat3,Ccnd2,81.46497,True,False
7948,Stat3,Cdkn1a,-36.82203,False,False
7950,Stat3,Cdkn1b,75.42626,True,False
7952,Stat3,Cflar,34.79019,True,False
7964,Stat3,Ddit3,70.31283,True,False
7971,Stat3,Etv6,44.30421,True,False
7982,Stat3,Fos,-112.55155,False,False
7983,Stat3,Gast,-57.09535,False,False
7997,Stat3,Hspb1,-55.73921,False,False
7998,Stat3,Icam1,51.914764,True,False
8001,Stat3,Ikbke,42.23699,True,False
8016,Stat3,Junb,75.853035,True,False
8017,Stat3,Klf11,-104.61767,False,False
8018,Stat3,Krt17,127.555786,True,False
8021,Stat3,Lgals3bp,-89.24444,False,False
8039,Stat3,Muc4,-32.339497,False,False
8045,Stat3,Myd88,95.549225,True,False
8048,Stat3,Nme1,-39.132587,False,False
8060,Stat3,Pim1,26.265383,True,False
8066,Stat3,Pros1,-73.50441,False,False
8083,Stat3,Stat1,73.01938,True,False
8099,Stat3,Ucp2,-40.35287,False,False
8135,Stat5b,Ccnd1,-37.323654,False,False
8136,Stat5b,Cel,55.544422,True,False
8190,Taf1,Cdkn1a,-83.04976,False,False
8258,Tcf3,Cdkn1a,54.48274,True,False
8727,Trrap,Ccnd2,-71.65441,False,False
9097,Xbp1,Ccl2,127.27083,True,False
9099,Xbp1,Ddit3,129.23354,True,False
9101,Xbp1,Ern1,81.2217,True,False
9105,Xbp1,Hspa1a,-99.292755,False,False
9111,Xbp1,Prnp,90.622475,True,False
9113,Xbp1,Sod2,123.24456,True,False
9117,Xpc,Casp2,76.32337,True,False
9120,Xpc,Rnf111,187.87267,True,True
9150,Ybx1,Mnat1,70.19669,True,True
9153,Ybx1,Rbbp8,-50.301117,False,False
9157,Ybx1,Top2a,39.695057,True,True
9277,Zbtb17,Cdkn1a,-52.525787,False,False
